ID,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Rail,"306,865","272,187","284,876","279,369","347,319","347,379","382,942","406,607","420,772","427,872","434,300","417,081","445,047","485,672","412,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground/DLR,"684,925","694,454","769,166","729,372","725,466","817,964","832,450","935,765","874,149","972,411","970,933","966,534","998,850","963,060","1,001,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus/tram,"1,177,246","1,272,602","1,279,067","1,301,793","1,315,588","1,450,570","1,417,383","1,400,008","1,439,217","1,362,507","1,342,014","1,143,539","1,141,730","1,164,427","1,162,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxi/other,"95,226","143,436","134,117","109,863","139,869","137,925","153,049","141,712","152,731","130,696","176,056","168,789","196,113","141,687","147,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car driver,"1,093,071","1,182,563","1,163,969","1,084,435","1,135,065","1,068,940","1,135,526","1,083,251","1,152,769","969,479","1,066,998","969,054","985,114","921,616","822,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car passenger,"516,863","649,833","653,240","561,221","527,287","578,711","579,352","556,462","639,893","554,717","548,282","495,337","548,287","488,717","452,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle,"42,668","41,502","40,635","62,768","34,778","27,370","35,847","41,702","22,863","24,131","50,915","35,528","25,976","25,462","22,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle,"156,906","196,759","185,355","199,420","202,349","226,233","338,360","308,082","312,171","323,488","274,818","290,407","306,746","322,921","317,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walk,"2,137,644","2,466,979","2,603,799","2,452,320","2,605,187","2,695,657","2,894,453","3,024,525","2,950,001","2,858,779","2,745,817","3,004,203","2,684,616","2,812,690","3,137,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"6,211,414","6,920,315","7,114,223","6,780,562","7,032,908","7,350,749","7,769,360","7,898,115","7,964,565","7,624,079","7,610,132","7,490,473","7,332,478","7,326,252","7,476,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,