ID,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,,,,,,,,,,
National Rail,776010,765514,752692,809296,849546,924690,947518,1061933,1007982,1078946,1038097,1078265,1108070,1120514,1100396,,,,,,,,,,
Underground/DLR,1192066,1265644,1339351,1365011,1308377,1470972,1476535,1624124,1560290,1684928,1742812,1717021,1754285,1738331,1808255,,,,,,,,,,
Bus/tram,2470533,2597678,2593402,2682388,2637303,2806137,2829366,2821797,2987290,2816303,2708612,2379287,2465559,2485146,2408046,,,,,,,,,,
Taxi/other,190387,275740,240848,187576,214387,250753,252529,260354,254256,269608,294398,276835,291703,244046,260663,,,,,,,,,,
Car driver,5235096,5097403,5125075,4500067,4552362,4763939,4886381,4701672,4964768,4397621,4536491,4159885,4033295,3997311,3779301,,,,,,,,,,
Car passenger,2339886,2589102,2575463,2210348,2314611,2345919,2448756,2305073,2498415,2380929,2293909,2132664,2136300,1964597,2001549,,,,,,,,,,
Motorcycle,84306,87629,93850,94470,90409,63388,80988,90278,71358,62031,93195,66700,62120,64522,46903,,,,,,,,,,
Cycle,292407,313153,339523,332203,357458,402952,526273,489427,527003,550433,463871,457926,448902,464439,491308,,,,,,,,,,
Walk,5560346,5701901,5730691,5271452,5328854,5472124,5798337,6046066,5869278,5725938,5493823,5941812,5133199,5456599,6305647,,,,,,,,,,
All,18141037,18693763,18790896,17452811,17653307,18500873,19246683,19400724,19740640,18966737,18665208,18210394,17433433,17535505,18202067,,,,,,,,,,